Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300121,300121,300121,13.25,0.009653,SHTP-0645
300122,300122,300122,13.25,0.009653,SHTP-0645
300123,300123,300123,2.65,0.005429,SHTP-0645
300124,300124,300124,5.3,0.01134,SHTP-0061
300125,300125,300125,8.18,0.016095,SHTP-0061
300126,300126,300126,20.2,0.013006,SHTP-0070
300127,300127,300127,2.77,0.016538,SHTP-0070
300128,300128,300128,18.55,0.009653,SHTP-0070
300129,300129,300129,23.85,0.009653,SHTP-0070
300130,300130,300130,13.25,0.009653,SHTP-0070
300131,300131,300131,20.2,0.013006,SHTP-0070
300132,300132,300132,20.2,0.013006,SHTP-0070
300133,300133,300133,18.55,0.009653,SHTP-0070
300134,300134,300134,8.31,0.016538,SHTP-0070
300135,300135,300135,13.25,0.009653,SHTP-0070
300136,300136,300136,43.75,0.021528,SHTP-0070
300137,300137,300137,5.05,0.013006,SHTP-0070
300138,300138,300138,50,0.021528,SHTP-0070
300139,300139,300139,62.5,0.021528,SHTP-0700
300140,300140,300140,5.3,0.01134,SHTP-0700
300141,300141,300141,4.09,0.016095,SHTP-0700
300142,300142,300142,4.09,0.016095,SHTP-0700
300143,300143,300143,21.2,0.009653,SHTP-0700
300144,300144,300144,2.65,0.005429,SHTP-0700
300145,300145,300145,2.65,0.005429,SHTP-0700
300146,300146,300146,73.25,0.025639,SHTP-0700
300147,300147,300147,41.55,0.016538,SHTP-0700
300148,300148,300148,41.55,0.016538,SHTP-0700
300149,300149,300149,2.65,0.005429,SHTP-0645
300150,300150,300150,38.55,0.022134,SHTP-0061
300151,300151,300151,79.26,0.033592,SHTP-0817
300152,300152,300152,8.31,0.016538,SHTP-0847
300153,300153,300153,5.3,0.009653,SHTP-0847
300154,300154,300154,2.65,0.009653,SHTP-0847
300155,300155,300155,43.95,0.025639,SHTP-0847
300156,300156,300156,2.65,0.01134,SHTP-0847
300157,300157,300157,2.65,0.009653,SHTP-0847
300158,300158,300158,30.47,0.016538,SHTP-0847
300159,300159,300159,25.7,0.022134,SHTP-0847
300160,300160,300160,13.25,0.01134,SHTP-0695
300161,300161,300161,13.25,0.01134,SHTP-0695
300162,300162,300162,10.1,0.013006,SHTP-0695
300163,300163,300163,5.3,0.01134,SHTP-0695
300164,300164,300164,10.1,0.013006,SHTP-0695
300165,300165,300165,5.3,0.01134,SHTP-0695
300166,300166,300166,18.55,0.009653,SHTP-0695
300167,300167,300167,18.55,0.009653,SHTP-0695
300168,300168,300168,7.95,0.009653,SHTP-0695
300169,300169,300169,1.45,0.00603,SHTP-0695
300170,300170,300170,7.95,0.009653,SHTP-0695
300171,300171,300171,15.9,0.009653,SHTP-0695
300172,300172,300172,5.3,0.005429,SHTP-0695
300173,300173,300173,18.75,0.021528,SHTP-0695
300174,300174,300174,18.75,0.021528,SHTP-0695
300175,300175,300175,27.7,0.016538,SHTP-0817
300176,300176,300176,38.55,0.022134,SHTP-0817
300177,300177,300177,33.24,0.016538,SHTP-0817
300178,300178,300178,15.9,0.01134,SHTP-0817
300181,300181,300181,33.24,0.016538,SHTP-0679
300182,300182,300182,175.8,0.025639,SHTP-0679
300183,300183,300183,83.1,0.016538,SHTP-0679
300184,300184,300184,13.85,0.016538,SHTP-0679
300186,300186,300186,73.25,0.025639,SHTP-0061
300187,300187,300187,132.1,0.033592,SHTP-0061
300188,300188,300188,31.8,0.009653,SHTP-0061
300189,300189,300189,8.18,0.016095,SHTP-0061
300190,300190,300190,25.7,0.022134,SHTP-0061
300191,300191,300191,26.5,0.009653,SHTP-0061
300192,300192,300192,5.3,0.01134,SHTP-0061
300193,300193,300193,8.18,0.016095,SHTP-0061
300194,300194,300194,8.18,0.016095,SHTP-0061
300195,300195,300195,41.55,0.016538,SHTP-0061
300196,300196,300196,22.16,0.016538,SHTP-0061
300197,300197,300197,13.85,0.016538,SHTP-0061
300198,300198,300198,2.65,0.009653,SHTP-0242
300199,300199,300199,2.65,0.009653,SHTP-0242
300300,300300,300300,7.95,0.009653,SHTP-0242
300201,300201,300201,7.95,0.009653,SHTP-0242
300202,300202,300202,31.25,0.021528,SHTP-0242
300203,300203,300203,31.25,0.021528,SHTP-0242
300204,300204,300204,13.25,0.01134,SHTP-0242
300205,300205,300205,20.2,0.013006,SHTP-0242
300206,300206,300206,20.2,0.013006,SHTP-0242
300207,300207,300207,20.2,0.013006,SHTP-0242
300208,300208,300208,5.3,0.009653,SHTP-0678
300209,300209,300209,7.95,0.01134,SHTP-0678
300210,300210,300210,31.25,0.021528,SHTP-0678
300211,300211,300211,7.95,0.009653,SHTP-0678
300212,300212,300212,5.3,0.009653,SHTP-0678
300213,300213,300213,12.5,0.021528,SHTP-0678
300214,300214,300214,5.3,0.009653,SHTP-0678
300215,300215,300215,15.15,0.013006,SHTP-0797
300216,300216,300216,15.15,0.013006,SHTP-0797
300217,300217,300217,13.25,0.01134,SHTP-0797
300218,300218,300218,43.75,0.021528,SHTP-0797
300219,300219,300219,2.65,0.009653,SHTP-0049
300220,300220,300220,117.2,0.025639,SHTP-0049
300221,300221,300221,18.55,0.01134,SHTP-0078
300222,300222,300222,15.15,0.013006,SHTP-0078
300223,300223,300223,10.1,0.013006,SHTP-0078
300224,300224,300224,15.9,0.009653,SHTP-0078
300225,300225,300225,68.9,0.009653,SHTP-0078
300226,300226,300226,31.8,0.009653,SHTP-0078
300227,300227,300227,31.8,0.009653,SHTP-0078
300228,300228,300228,5.3,0.005429,SHTP-0078
