Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300692,300692,300692,4.09,0.016095,SHTP-0040
300695,300695,300695,49.86,0.016538,SHTP-0026
300696,300696,300696,25.7,0.022134,SHTP-0026
300697,300697,300697,7.95,0.009653,SHTP-0850
300702,300702,300702,83.1,0.016538,SHTP-0782
300703,300703,300703,146.5,0.025639,SHTP-0782
300704,300704,300704,13.85,0.016538,SHTP-0782
300705,300705,300705,5.3,0.00837,SHTP-0782
300706,300706,300706,4.09,0.016095,SHTP-0040
300707,300707,300707,4.09,0.016095,SHTP-0040
300708,300708,300708,4.09,0.016095,SHTP-0040
300709,300709,300709,13.25,0.009653,SHTP-0040
300710,300710,300710,77.1,0.022134,SHTP-0026
300711,300711,300711,49.86,0.016538,SHTP-0026
300716,300716,300716,15.9,0.009653,SHTP-0073
300717,300717,300717,15.15,0.013006,SHTP-0782
300718,300718,300718,13.25,0.009653,SHTP-0782
300719,300719,300719,4.09,0.016095,SHTP-0760
300720,300720,300720,5.3,0.01134,SHTP-0040
300721,300721,300721,10.6,0.01134,SHTP-0040
300722,300722,300722,2.65,0.005429,SHTP-0081
300723,300723,300723,13.85,0.016538,SHTP-0081
300724,300724,300724,36.01,0.016538,SHTP-0073
300725,300725,300725,5.05,0.013006,SHTP-0073
300732,300732,300732,4.09,0.016095,SHTP-0760
300733,300733,300733,5.3,0.009653,SHTP-0760
300734,300734,300734,27.17,0.010583,SHTP-0797
300735,300735,300735,264.2,0.033592,SHTP-0797
300736,300736,300736,55.4,0.016538,SHTP-0797
300737,300737,300737,41.55,0.016538,SHTP-0797
300738,300738,300738,15.9,0.009653,SHTP-0081
300739,300739,300739,10.6,0.009653,SHTP-0081
300740,300740,300740,13.85,0.016538,SHTP-0046
300741,300741,300741,87.9,0.025639,SHTP-0046
300752,300752,300752,10.6,0.009653,SHTP-0081
300753,300753,300753,13.25,0.009653,SHTP-0040
300754,300754,300754,10.6,0.009653,SHTP-0040
300755,300755,300755,10.6,0.009653,SHTP-0040
300756,300756,300756,41.55,0.016538,SHTP-0046
300757,300757,300757,25.7,0.022134,SHTP-0046
300758,300758,300758,24.93,0.016538,SHTP-0046
300759,300759,300759,10.868,0.010583,SHTP-0046
300766,300766,300766,27.7,0.016538,SHTP-0695
300767,300767,300767,5.3,0.009653,SHTP-0040
300768,300768,300768,5.3,0.009653,SHTP-0040
300778,300778,300778,89.95,0.022134,SHTP-0695
300779,300779,300779,51.4,0.022134,SHTP-0695
300780,300780,300780,264.2,0.033592,SHTP-0040
300781,300781,300781,13.85,0.016538,SHTP-0081
300782,300782,300782,55.4,0.016538,SHTP-0081
300787,300787,300787,2.65,0.005429,SHTP-0033
300794,300794,300794,31.25,0.021528,SHTP-0044
300795,300795,300795,31.25,0.021528,SHTP-0044
300796,300796,300796,7.95,0.01134,SHTP-0044
300797,300797,300797,5.05,0.013006,SHTP-0044
300798,300798,300798,13.25,0.009653,SHTP-0044
300799,300799,300799,25.73,0.007812,SHTP-0081
300800,300800,300800,10.1,0.013006,SHTP-0081
300801,300801,300801,10.1,0.013006,SHTP-0081
300811,300811,300811,1.0225,0.016095,SHTP-0033
300822,300822,300822,13.25,0.009653,SHTP-0044
300823,300823,300823,10.6,0.009653,SHTP-0044
300824,300824,300824,13.25,0.009653,SHTP-0044
300825,300825,300825,27.7,0.016538,SHTP-0044
300826,300826,300826,146.5,0.025639,SHTP-0044
300827,300827,300827,5.05,0.013006,SHTP-0307
300828,300828,300828,31.7,0.0162,SHTP-0307
300829,300829,300829,14.65,0.025639,SHTP-0307
300830,300830,300830,13.21,0.016796,SHTP-0307
300831,300831,300831,51.4,0.022134,SHTP-0307
300832,300832,300832,6.625,0.009653,SHTP-0307
300833,300833,300833,16.36,0.016095,SHTP-0307
300834,300834,300834,19.25,0.006503,SHTP-0307
300835,300835,300835,19.25,0.006503,SHTP-0307
300836,300836,300836,64.25,0.022134,SHTP-0307
300837,300837,300837,3.975,0.01134,SHTP-0307
300838,300838,300838,30.3,0.013006,SHTP-0307
300839,300839,300839,5.1125,0.016095,SHTP-0307
300840,300840,300840,12.27,0.016095,SHTP-0307
300841,300841,300841,16.36,0.016095,SHTP-0307
300842,300842,300842,1.325,0.009653,SHTP-0307
300843,300843,300843,3.975,0.01134,SHTP-0307
300844,300844,300844,5.3,0.009653,SHTP-0307
300845,300845,300845,6.625,0.01134,SHTP-0307
300846,300846,300846,10.6,0.009653,SHTP-0307
300847,300847,300847,2.65,0.009653,SHTP-0307
300848,300848,300848,7.95,0.009653,SHTP-0307
300849,300849,300849,10.225,0.016095,SHTP-0307
300850,300850,300850,23.1,0.006503,SHTP-0307
300851,300851,300851,15.4,0.006503,SHTP-0307
